Timestamp,Berapa rata-rata IPK anda selama anda berkuliah,dari skala 1-5 seberapa minat kamu ke bidang pengembangan web?,dari skala 1-5 seberapa minat kamu ke bidang Data Science?,dari skala 1-5 seberapa minat kamu ke bidang kecerdasan buatan?,dari skala 1-5 seberapa minat kamu ke bidang UI/UX?,dari skala 1-5 seberapa minat kamu ke bidang Game Development?,dari skala 1-5 seberapa minat kamu ke bidang Cyber Security (1-5),"Ketika bekerja dalam tim, kamu lebih suka",Saya lebih suka bekerja dalam suasana
5/31/2025 15:44:08,3.51 - 4.00,3,5,5,2,2,2,Memimpin diskusi,Netral
5/31/2025 15:48:06,3.51 - 4.00,4,5,3,5,2,2,Menyusun rencana,Netral
5/31/2025 15:48:28,3.51 - 4.00,4,2,2,4,1,3,Menyusun rencana,Netral
5/31/2025 15:50:42,3.51 - 4.00,4,3,4,2,2,3,Mengerjakan bagian teknis,Ramai dan dinamis
5/31/2025 15:54:25,3.51 - 4.00,2,5,5,3,3,2,Bekerja sendiri,Sangat tenang
5/31/2025 16:06:39,3.51 - 4.00,4,3,5,2,5,5,Mengerjakan bagian teknis,Netral
5/31/2025 16:06:59,3.51 - 4.00,4,5,5,3,5,3,Mengerjakan bagian teknis,Netral
5/31/2025 16:11:49,3.01 - 3.50,4,5,4,4,3,4,Mengerjakan bagian teknis,Netral
5/31/2025 16:19:04,3.51 - 4.00,4,5,5,3,3,4,Memimpin diskusi,Netral
5/31/2025 16:19:48,3.51 - 4.00,3,3,3,3,4,5,Mengerjakan bagian teknis,Netral
5/31/2025 16:47:01,3.51 - 4.00,4,4,5,3,4,5,Menyusun rencana,Netral
5/31/2025 17:13:45,3.51 - 4.00,4,2,2,4,3,4,Mengerjakan bagian teknis,Sangat tenang
6/3/2025 19:59:23,3.51 - 4.00,4,3,5,2,5,4,Menyusun rencana,Sangat tenang
06/07/2025 11:36:26,< 2.50,2,1,1,1,4,4,Mengerjakan bagian teknis,Sangat tenang
06/07/2025 11:36:27,3.51 - 4.00,4,1,3,3,1,5,Menyusun rencana,Sangat tenang
06/07/2025 11:36:28,2.51 - 3.00,5,4,5,3,1,2,Bekerja sendiri,Netral
06/07/2025 11:36:29,3.51 - 4.00,5,1,1,2,3,5,Bekerja sendiri,Ramai dan dinamis
06/07/2025 11:36:30,< 2.50,3,1,5,3,3,4,Memimpin diskusi,Ramai dan dinamis
06/07/2025 11:36:31,3.51 - 4.00,4,2,5,1,2,1,Menyusun rencana,Ramai dan dinamis
06/07/2025 11:36:32,3.01 - 3.50,3,5,3,3,5,1,Menyusun rencana,Ramai dan dinamis
06/07/2025 11:36:33,< 2.50,3,3,2,1,5,3,Menyusun rencana,Ramai dan dinamis
06/07/2025 11:36:34,< 2.50,2,2,4,4,2,1,Menyusun rencana,Sangat tenang
06/07/2025 11:36:35,3.51 - 4.00,1,3,5,1,3,3,Menyusun rencana,Ramai dan dinamis
06/07/2025 11:36:36,2.51 - 3.00,5,3,5,5,3,2,Bekerja sendiri,Sangat tenang
06/07/2025 11:36:37,3.01 - 3.50,1,5,2,3,3,4,Bekerja sendiri,Ramai dan dinamis
06/07/2025 11:36:38,< 2.50,3,4,3,1,3,5,Menyusun rencana,Ramai dan dinamis
06/07/2025 11:36:39,2.51 - 3.00,4,4,5,2,2,5,Bekerja sendiri,Netral
06/07/2025 11:36:40,< 2.50,1,3,4,5,3,3,Menyusun rencana,Netral
06/07/2025 11:36:41,2.51 - 3.00,3,1,2,3,2,3,Bekerja sendiri,Sangat tenang
06/07/2025 11:36:42,3.01 - 3.50,5,1,3,3,2,3,Bekerja sendiri,Ramai dan dinamis
06/07/2025 11:36:43,2.51 - 3.00,5,4,5,2,2,2,Bekerja sendiri,Netral
06/07/2025 11:36:44,3.01 - 3.50,3,1,1,2,2,5,Mengerjakan bagian teknis,Ramai dan dinamis
06/07/2025 11:36:45,3.01 - 3.50,1,3,3,3,5,2,Mengerjakan bagian teknis,Ramai dan dinamis
06/07/2025 11:36:46,< 2.50,2,5,4,3,2,2,Mengerjakan bagian teknis,Ramai dan dinamis
06/07/2025 11:36:47,2.51 - 3.00,2,3,1,2,2,1,Mengerjakan bagian teknis,Ramai dan dinamis
06/07/2025 11:36:48,2.51 - 3.00,3,1,5,1,2,5,Bekerja sendiri,Netral
06/07/2025 11:36:49,3.51 - 4.00,5,2,1,1,5,2,Menyusun rencana,Netral
06/07/2025 11:36:50,2.51 - 3.00,2,4,2,1,3,4,Memimpin diskusi,Sangat tenang
06/07/2025 11:36:51,3.51 - 4.00,2,4,4,4,1,2,Bekerja sendiri,Ramai dan dinamis
06/07/2025 11:36:52,3.01 - 3.50,2,5,3,1,2,3,Memimpin diskusi,Ramai dan dinamis
06/07/2025 11:36:53,3.51 - 4.00,1,2,3,2,3,1,Mengerjakan bagian teknis,Netral
06/07/2025 11:36:54,3.01 - 3.50,4,4,5,3,1,5,Mengerjakan bagian teknis,Ramai dan dinamis
06/07/2025 11:36:55,2.51 - 3.00,4,5,4,1,5,5,Bekerja sendiri,Sangat tenang
